[1;96m2023-04-17 23:43:32.290967[1;37m - Patrimonio: [1;35m121829[92m OK[1;37m - Progresso: [1;96m1/304[m
[1;96m2023-04-17 23:43:39.104742[1;37m - Patrimonio: [1;35m121830[92m OK[1;37m - Progresso: [1;96m2/304[m
[1;96m2023-04-17 23:43:44.867048[1;37m - Patrimonio: [1;35m121831[92m OK[1;37m - Progresso: [1;96m3/304[m
[1;96m2023-04-17 23:43:51.433845[1;37m - Patrimonio: [1;35m121832[92m OK[1;37m - Progresso: [1;96m4/304[m
[1;96m2023-04-17 23:43:58.192608[1;37m - Patrimonio: [1;35m121833[92m OK[1;37m - Progresso: [1;96m5/304[m
[1;96m2023-04-17 23:44:04.901085[1;37m - Patrimonio: [1;35m121834[92m OK[1;37m - Progresso: [1;96m6/304[m
[1;96m2023-04-17 23:44:11.452009[1;37m - Patrimonio: [1;35m121835[92m OK[1;37m - Progresso: [1;96m7/304[m
[1;96m2023-04-17 23:44:18.135593[1;37m - Patrimonio: [1;35m121836[92m OK[1;37m - Progresso: [1;96m8/304[m
2023-04-17 23:48:46.097499 - Patrimonio: 121837 OK - Progresso: 1
2023-04-17 23:48:51.789347 - Patrimonio: 121838 OK - Progresso: 2
2023-04-17 23:48:57.502363 - Patrimonio: 121839 OK - Progresso: 3
2023-04-17 23:49:03.123737 - Patrimonio: 121840 OK - Progresso: 4
2023-04-17 23:49:08.697469 - Patrimonio: 121841 OK - Progresso: 5
2023-04-17 23:49:14.785497 - Patrimonio: 121842 OK - Progresso: 6
2023-04-17 23:49:21.044082 - Patrimonio: 121843 OK - Progresso: 7
2023-04-17 23:49:27.203016 - Patrimonio: 121844 OK - Progresso: 8
2023-04-17 23:49:32.478771 - Patrimonio: 121845 OK - Progresso: 9
2023-04-17 23:49:38.180025 - Patrimonio: 121846 OK - Progresso: 10
2023-04-17 23:49:43.771585 - Patrimonio: 121847 OK - Progresso: 11
2023-04-17 23:49:49.543495 - Patrimonio: 121848 OK - Progresso: 12
2023-04-17 23:49:55.248238 - Patrimonio: 121849 OK - Progresso: 13
2023-04-17 23:50:00.864999 - Patrimonio: 121850 OK - Progresso: 14
2023-04-17 23:50:06.600266 - Patrimonio: 121851 OK - Progresso: 15
2023-04-17 23:50:12.298712 - Patrimonio: 121852 OK - Progresso: 16
2023-04-17 23:50:17.955219 - Patrimonio: 121853 OK - Progresso: 17
2023-04-17 23:50:24.070925 - Patrimonio: 121854 OK - Progresso: 18
2023-04-17 23:50:30.267666 - Patrimonio: 121855 OK - Progresso: 19
2023-04-17 23:50:35.967109 - Patrimonio: 121856 OK - Progresso: 20
2023-04-17 23:50:42.303106 - Patrimonio: 121857 OK - Progresso: 21
2023-04-18 00:01:13.509509 - Patrimonio: 121858 OK - Progresso: 1/274
2023-04-18 00:01:18.097092 - Patrimonio: 121859 OK - Progresso: 2/274
2023-04-18 00:01:23.507340 - Patrimonio: 121860 OK - Progresso: 3/274
2023-04-18 00:01:28.946229 - Patrimonio: 121861 OK - Progresso: 4/274
2023-04-18 00:01:33.432149 - Patrimonio: 121862 OK - Progresso: 5/274
2023-04-18 00:01:38.293799 - Patrimonio: 121864 OK - Progresso: 6/274
2023-04-18 00:01:43.437480 - Patrimonio: 121865 OK - Progresso: 7/274
2023-04-18 00:01:47.915091 - Patrimonio: 121866 OK - Progresso: 8/274
2023-04-18 00:01:52.994264 - Patrimonio: 121867 OK - Progresso: 9/274
2023-04-18 00:01:57.953037 - Patrimonio: 121868 OK - Progresso: 10/274
2023-04-18 00:02:02.426970 - Patrimonio: 121869 OK - Progresso: 11/274
2023-04-18 00:02:07.887929 - Patrimonio: 121870 OK - Progresso: 12/274
2023-04-18 00:02:13.272820 - Patrimonio: 121871 OK - Progresso: 13/274
2023-04-18 00:02:18.099326 - Patrimonio: 121872 OK - Progresso: 14/274
2023-04-18 00:02:23.136561 - Patrimonio: 121873 OK - Progresso: 15/274
2023-04-18 00:02:28.538391 - Patrimonio: 121874 OK - Progresso: 16/274
2023-04-18 00:02:32.945801 - Patrimonio: 121875 OK - Progresso: 17/274
2023-04-18 00:02:37.953037 - Patrimonio: 121876 OK - Progresso: 18/274
2023-04-18 00:02:43.410230 - Patrimonio: 121877 OK - Progresso: 19/274
2023-04-18 00:02:48.184927 - Patrimonio: 121878 OK - Progresso: 20/274
2023-04-18 00:02:53.560769 - Patrimonio: 121879 OK - Progresso: 21/274
2023-04-18 00:02:58.317834 - Patrimonio: 121880 OK - Progresso: 22/274
2023-04-18 00:03:03.215454 - Patrimonio: 121881 OK - Progresso: 23/274
2023-04-18 00:03:08.576231 - Patrimonio: 121882 OK - Progresso: 24/274
2023-04-18 00:03:13.652321 - Patrimonio: 121883 OK - Progresso: 25/274
2023-04-18 00:03:19.003756 - Patrimonio: 121884 OK - Progresso: 26/274
2023-04-18 00:03:23.927820 - Patrimonio: 121885 OK - Progresso: 27/274
2023-04-18 00:03:29.233762 - Patrimonio: 121886 OK - Progresso: 28/274
2023-04-18 00:03:33.653787 - Patrimonio: 121887 OK - Progresso: 29/274
2023-04-18 00:03:38.594892 - Patrimonio: 121888 OK - Progresso: 30/274
2023-04-18 00:03:43.924379 - Patrimonio: 121889 OK - Progresso: 31/274
2023-04-18 00:03:48.820056 - Patrimonio: 121890 OK - Progresso: 32/274
2023-04-18 00:03:54.157104 - Patrimonio: 121891 OK - Progresso: 33/274
2023-04-18 00:03:59.430169 - Patrimonio: 121892 OK - Progresso: 34/274
2023-04-18 00:04:04.186406 - Patrimonio: 121893 OK - Progresso: 35/274
2023-04-18 00:04:09.219032 - Patrimonio: 121894 OK - Progresso: 36/274
2023-04-18 00:04:14.217472 - Patrimonio: 121895 OK - Progresso: 37/274
2023-04-18 00:04:19.049765 - Patrimonio: 121896 OK - Progresso: 38/274
2023-04-18 00:04:24.018593 - Patrimonio: 121897 OK - Progresso: 39/274
2023-04-18 00:04:29.471387 - Patrimonio: 121898 OK - Progresso: 40/274
2023-04-18 00:04:34.450273 - Patrimonio: 121899 OK - Progresso: 41/274
2023-04-18 00:04:39.752735 - Patrimonio: 121900 OK - Progresso: 42/274
2023-04-18 00:04:45.092890 - Patrimonio: 121901 OK - Progresso: 43/274
2023-04-18 00:04:50.481307 - Patrimonio: 121902 OK - Progresso: 44/274
2023-04-18 00:04:55.431285 - Patrimonio: 121903 OK - Progresso: 45/274
2023-04-18 00:05:00.451322 - Patrimonio: 121904 OK - Progresso: 46/274
2023-04-18 00:05:04.931168 - Patrimonio: 121905 OK - Progresso: 47/274
2023-04-18 00:05:09.792937 - Patrimonio: 121906 OK - Progresso: 48/274
2023-04-18 00:05:14.759460 - Patrimonio: 121907 OK - Progresso: 49/274
2023-04-18 00:05:19.384118 - Patrimonio: 121908 OK - Progresso: 50/274
2023-04-18 00:05:24.867532 - Patrimonio: 121909 OK - Progresso: 51/274
2023-04-18 00:05:30.834557 - Patrimonio: 121922 OK - Progresso: 52/274
2023-04-18 00:05:35.764450 - Patrimonio: 121943 OK - Progresso: 53/274
2023-04-18 00:05:41.227188 - Patrimonio: 121965 OK - Progresso: 54/274
2023-04-18 00:05:47.238965 - Patrimonio: 121966 OK - Progresso: 55/274
2023-04-18 00:05:52.713491 - Patrimonio: 121967 OK - Progresso: 56/274
2023-04-18 00:05:57.202454 - Patrimonio: 121968 OK - Progresso: 57/274
2023-04-18 00:06:02.096237 - Patrimonio: 121969 OK - Progresso: 58/274
2023-04-18 00:06:07.400618 - Patrimonio: 121970 OK - Progresso: 59/274
2023-04-18 00:06:11.912134 - Patrimonio: 121971 OK - Progresso: 60/274
2023-04-18 00:06:17.012633 - Patrimonio: 121972 OK - Progresso: 61/274
2023-04-18 00:06:22.504824 - Patrimonio: 121973 OK - Progresso: 62/274
2023-04-18 00:06:27.412449 - Patrimonio: 121974 OK - Progresso: 63/274
2023-04-18 00:06:32.854547 - Patrimonio: 121975 OK - Progresso: 64/274
2023-04-18 00:06:37.833150 - Patrimonio: 121976 OK - Progresso: 65/274
2023-04-18 00:06:42.805762 - Patrimonio: 121977 OK - Progresso: 66/274
2023-04-18 00:06:48.194604 - Patrimonio: 121978 OK - Progresso: 67/274
2023-04-18 00:06:53.528459 - Patrimonio: 121979 OK - Progresso: 68/274
2023-04-18 00:06:57.988964 - Patrimonio: 121980 OK - Progresso: 69/274
2023-04-18 00:07:02.930615 - Patrimonio: 121981 OK - Progresso: 70/274
2023-04-18 00:07:08.369078 - Patrimonio: 121982 OK - Progresso: 71/274
2023-04-18 00:07:12.806192 - Patrimonio: 121983 OK - Progresso: 72/274
2023-04-18 00:07:18.193058 - Patrimonio: 121984 OK - Progresso: 73/274
2023-04-18 00:07:23.028930 - Patrimonio: 121985 OK - Progresso: 74/274
2023-04-18 00:07:27.438721 - Patrimonio: 121992 OK - Progresso: 75/274
2023-04-18 00:07:33.292479 - Patrimonio: 122007 OK - Progresso: 76/274
2023-04-18 00:07:38.161305 - Patrimonio: 122008 OK - Progresso: 77/274
2023-04-18 00:07:43.195274 - Patrimonio: 122009 OK - Progresso: 78/274
2023-04-18 00:07:48.089006 - Patrimonio: 122010 OK - Progresso: 79/274
2023-04-18 00:07:53.128864 - Patrimonio: 122011 OK - Progresso: 80/274
2023-04-18 00:07:58.482488 - Patrimonio: 122012 OK - Progresso: 81/274
2023-04-18 00:08:03.380807 - Patrimonio: 122013 OK - Progresso: 82/274
2023-04-18 00:08:08.322626 - Patrimonio: 122014 OK - Progresso: 83/274
2023-04-18 00:08:14.132717 - Patrimonio: 122015 OK - Progresso: 84/274
2023-04-18 00:08:18.487408 - Patrimonio: 122016 OK - Progresso: 85/274
2023-04-18 00:08:23.432646 - Patrimonio: 122017 OK - Progresso: 86/274
2023-04-18 00:08:28.544193 - Patrimonio: 122018 OK - Progresso: 87/274
2023-04-18 00:08:33.483761 - Patrimonio: 122019 OK - Progresso: 88/274
2023-04-18 00:08:38.475944 - Patrimonio: 122020 OK - Progresso: 89/274
2023-04-18 00:08:43.929852 - Patrimonio: 122028 OK - Progresso: 90/274
2023-04-18 00:08:48.364437 - Patrimonio: 122029 OK - Progresso: 91/274
2023-04-18 00:08:52.953323 - Patrimonio: 122030 OK - Progresso: 92/274
2023-04-18 00:08:58.485401 - Patrimonio: 122031 OK - Progresso: 93/274
2023-04-18 00:09:02.849647 - Patrimonio: 122032 OK - Progresso: 94/274
2023-04-18 00:09:07.581957 - Patrimonio: 122033 OK - Progresso: 95/274
2023-04-18 00:09:13.092579 - Patrimonio: 122034 OK - Progresso: 96/274
2023-04-18 00:09:17.928891 - Patrimonio: 122035 OK - Progresso: 97/274
2023-04-18 00:09:22.909371 - Patrimonio: 122036 OK - Progresso: 98/274
2023-04-18 00:09:27.952278 - Patrimonio: 122037 OK - Progresso: 99/274
2023-04-18 00:09:32.802315 - Patrimonio: 122038 OK - Progresso: 100/274
2023-04-18 00:09:37.764488 - Patrimonio: 122039 OK - Progresso: 101/274
2023-04-18 00:09:42.787675 - Patrimonio: 122040 OK - Progresso: 102/274
2023-04-18 00:09:47.219451 - Patrimonio: 122041 OK - Progresso: 103/274
2023-04-18 00:09:52.062018 - Patrimonio: 122042 OK - Progresso: 104/274
2023-04-18 00:09:57.145526 - Patrimonio: 122043 OK - Progresso: 105/274
2023-04-18 00:10:02.062168 - Patrimonio: 122044 OK - Progresso: 106/274
2023-04-18 00:10:07.033662 - Patrimonio: 122045 OK - Progresso: 107/274
2023-04-18 00:10:11.964892 - Patrimonio: 122047 OK - Progresso: 108/274
2023-04-18 00:10:16.929912 - Patrimonio: 122048 OK - Progresso: 109/274
2023-04-18 06:10:14.423369 - Patrimonio: 122050 OK - Progresso: 1/164
2023-04-18 06:10:21.569769 - Patrimonio: 122052 OK - Progresso: 2/164
2023-04-18 06:10:27.824243 - Patrimonio: 122053 OK - Progresso: 3/164
2023-04-18 06:10:34.349590 - Patrimonio: 122055 OK - Progresso: 4/164
2023-04-18 06:10:39.966161 - Patrimonio: 122057 OK - Progresso: 5/164
2023-04-18 06:10:45.229479 - Patrimonio: 122059 OK - Progresso: 6/164
2023-04-18 06:10:51.109497 - Patrimonio: 122061 OK - Progresso: 7/164
2023-04-18 06:10:56.698997 - Patrimonio: 122064 OK - Progresso: 8/164
2023-04-18 06:11:01.784709 - Patrimonio: 122066 OK - Progresso: 9/164
2023-04-18 06:11:07.586060 - Patrimonio: 122069 OK - Progresso: 10/164
2023-04-18 06:11:12.664812 - Patrimonio: 122070 OK - Progresso: 11/164
2023-04-18 06:11:17.026806 - Patrimonio: 122071 OK - Progresso: 12/164
2023-04-18 06:11:22.634345 - Patrimonio: 122080 OK - Progresso: 13/164
2023-04-18 06:11:27.750777 - Patrimonio: 122091 OK - Progresso: 14/164
2023-04-18 06:11:32.424395 - Patrimonio: 122100 OK - Progresso: 15/164
2023-04-18 06:11:37.667727 - Patrimonio: 122196 OK - Progresso: 16/164
2023-04-18 06:11:42.575332 - Patrimonio: 122206 OK - Progresso: 17/164
2023-04-18 06:11:47.090639 - Patrimonio: 122299 OK - Progresso: 18/164
2023-04-18 06:11:52.600109 - Patrimonio: 122300 OK - Progresso: 19/164
2023-04-18 06:11:57.885944 - Patrimonio: 122309 OK - Progresso: 20/164
2023-04-18 06:12:02.435273 - Patrimonio: 122310 OK - Progresso: 21/164
2023-04-18 06:12:06.943113 - Patrimonio: 122311 OK - Progresso: 22/164
2023-04-18 06:12:12.547550 - Patrimonio: 122312 OK - Progresso: 23/164
2023-04-18 06:12:17.184094 - Patrimonio: 122313 OK - Progresso: 24/164
2023-04-18 06:12:22.196524 - Patrimonio: 122314 OK - Progresso: 25/164
2023-04-18 06:12:27.427867 - Patrimonio: 122315 OK - Progresso: 26/164
2023-04-18 06:12:32.472591 - Patrimonio: 122316 OK - Progresso: 27/164
2023-04-18 06:12:37.252920 - Patrimonio: 122317 OK - Progresso: 28/164
2023-04-18 06:12:42.256919 - Patrimonio: 122318 OK - Progresso: 29/164
2023-04-18 06:12:47.013590 - Patrimonio: 122319 OK - Progresso: 30/164
2023-04-18 06:12:52.104248 - Patrimonio: 122320 OK - Progresso: 31/164
2023-04-18 06:12:57.184839 - Patrimonio: 122321 OK - Progresso: 32/164
2023-04-18 06:13:01.963570 - Patrimonio: 122322 OK - Progresso: 33/164
2023-04-18 06:13:07.213204 - Patrimonio: 122323 OK - Progresso: 34/164
2023-04-18 06:13:12.304554 - Patrimonio: 122324 OK - Progresso: 35/164
2023-04-18 06:13:17.412347 - Patrimonio: 122325 OK - Progresso: 36/164
2023-04-18 06:13:22.701274 - Patrimonio: 122326 OK - Progresso: 37/164
2023-04-18 06:13:28.321480 - Patrimonio: 122327 OK - Progresso: 38/164
2023-04-18 06:13:32.826190 - Patrimonio: 122328 OK - Progresso: 39/164
2023-04-18 06:13:37.954686 - Patrimonio: 122329 OK - Progresso: 40/164
2023-04-18 06:13:43.484102 - Patrimonio: 122330 OK - Progresso: 41/164
2023-04-18 06:13:48.316545 - Patrimonio: 122331 OK - Progresso: 42/164
2023-04-18 06:13:53.993220 - Patrimonio: 122332 OK - Progresso: 43/164
2023-04-18 06:13:59.101758 - Patrimonio: 122333 OK - Progresso: 44/164
2023-04-18 06:14:03.633833 - Patrimonio: 122334 OK - Progresso: 45/164
2023-04-18 06:14:09.128742 - Patrimonio: 122335 OK - Progresso: 46/164
2023-04-18 06:14:14.396050 - Patrimonio: 122336 OK - Progresso: 47/164
2023-04-18 06:14:19.531059 - Patrimonio: 122337 OK - Progresso: 48/164
2023-04-18 06:14:24.943460 - Patrimonio: 122338 OK - Progresso: 49/164
2023-04-18 06:14:30.502878 - Patrimonio: 122339 OK - Progresso: 50/164
2023-04-18 06:14:35.734099 - Patrimonio: 122340 OK - Progresso: 51/164
2023-04-18 06:14:41.360895 - Patrimonio: 122341 OK - Progresso: 52/164
2023-04-18 06:14:47.021701 - Patrimonio: 122342 OK - Progresso: 53/164
2023-04-18 06:14:51.755785 - Patrimonio: 122343 OK - Progresso: 54/164
2023-04-18 06:14:56.932074 - Patrimonio: 122344 OK - Progresso: 55/164
2023-04-18 06:15:02.275366 - Patrimonio: 122345 OK - Progresso: 56/164
2023-04-18 06:15:06.962055 - Patrimonio: 122346 OK - Progresso: 57/164
2023-04-18 06:15:11.592416 - Patrimonio: 122347 OK - Progresso: 58/164
2023-04-18 06:15:16.444230 - Patrimonio: 122348 OK - Progresso: 59/164
2023-04-18 06:15:21.515269 - Patrimonio: 122349 OK - Progresso: 60/164
2023-04-18 06:15:26.580122 - Patrimonio: 122350 OK - Progresso: 61/164
2023-04-18 06:15:31.711108 - Patrimonio: 122351 OK - Progresso: 62/164
2023-04-18 06:15:36.422079 - Patrimonio: 122352 OK - Progresso: 63/164
2023-04-18 06:15:42.025666 - Patrimonio: 122353 OK - Progresso: 64/164
2023-04-18 06:15:47.112536 - Patrimonio: 122354 OK - Progresso: 65/164
2023-04-18 06:15:51.923330 - Patrimonio: 122355 OK - Progresso: 66/164
2023-04-18 06:15:57.005555 - Patrimonio: 122356 OK - Progresso: 67/164
2023-04-18 06:16:02.037909 - Patrimonio: 122357 OK - Progresso: 68/164
2023-04-18 06:16:07.686725 - Patrimonio: 122358 OK - Progresso: 69/164
2023-04-18 06:16:12.658195 - Patrimonio: 122359 OK - Progresso: 70/164
2023-04-18 06:16:18.305471 - Patrimonio: 122360 OK - Progresso: 71/164
2023-04-18 06:16:23.477761 - Patrimonio: 122361 OK - Progresso: 72/164
2023-04-18 06:16:29.112358 - Patrimonio: 122362 OK - Progresso: 73/164
2023-04-18 06:16:34.101874 - Patrimonio: 122363 OK - Progresso: 74/164
2023-04-18 06:16:38.885263 - Patrimonio: 122385 OK - Progresso: 75/164
2023-04-18 06:16:44.460563 - Patrimonio: 122386 OK - Progresso: 76/164
2023-04-18 06:16:49.658324 - Patrimonio: 122387 OK - Progresso: 77/164
2023-04-18 06:16:54.321900 - Patrimonio: 122388 OK - Progresso: 78/164
2023-04-18 06:16:59.599510 - Patrimonio: 122389 OK - Progresso: 79/164
2023-04-18 06:17:04.492762 - Patrimonio: 122390 OK - Progresso: 80/164
2023-04-18 06:17:09.645439 - Patrimonio: 122391 OK - Progresso: 81/164
2023-04-18 06:17:14.355554 - Patrimonio: 122392 OK - Progresso: 82/164
2023-04-18 06:17:19.958482 - Patrimonio: 122393 OK - Progresso: 83/164
2023-04-18 06:17:24.564220 - Patrimonio: 122394 OK - Progresso: 84/164
2023-04-18 06:17:29.751766 - Patrimonio: 122395 OK - Progresso: 85/164
2023-04-18 06:17:35.046085 - Patrimonio: 122396 OK - Progresso: 86/164
2023-04-18 06:17:39.612119 - Patrimonio: 122397 OK - Progresso: 87/164
